airline,date_of_journey,source,destination,dep_time,arrival_time,total_stops,additional_info,price
Vistara,2019-06-09,Kolkata,Banglore,20:20:00,20:20:00,1.0,No Info,8085
Indigo,2019-03-03,Delhi,Cochin,10:45:00,01:35:00,1.0,No Info,14871
Jet Airways,2019-05-01,Banglore,Delhi,11:10:00,14:05:00,0.0,In-flight meal not included,4030
Air India,2019-03-15,Banglore,New Delhi,05:50:00,12:55:00,1.0,No Info,9029
Air Asia,2019-06-12,Delhi,Cochin,07:55:00,15:45:00,1.0,No Info,6152
Spicejet,2019-06-09,Mumbai,Hyderabad,13:15:00,14:45:00,0.0,No Info,2227
Multiple Carriers,2019-05-15,Delhi,Cochin,07:30:00,21:00:00,1.0,No Info,8405
Spicejet,2019-03-15,Chennai,Kolkata,08:20:00,10:35:00,0.0,No Info,6300
Goair,2019-05-09,Kolkata,Banglore,16:40:00,00:15:00,1.0,No Info,8777
Indigo,2019-05-12,Chennai,Kolkata,07:55:00,10:15:00,0.0,No Info,3850
Multiple Carriers,2019-05-27,Delhi,Cochin,09:00:00,21:00:00,1.0,No Info,7618
Air India,2019-03-24,Kolkata,Banglore,19:00:00,11:05:00,1.0,No Info,5567
Air India,2019-05-24,Kolkata,Banglore,09:10:00,13:15:00,1.0,No Info,8996
Spicejet,2019-06-09,Banglore,Delhi,21:10:00,00:05:00,0.0,No check-in baggage included,3919
Indigo,2019-06-12,Banglore,Delhi,04:00:00,06:50:00,0.0,No Info,3943
Multiple Carriers,2019-06-06,Delhi,Cochin,07:30:00,21:00:00,1.0,No Info,7740
Multiple Carriers,2019-03-27,Delhi,Cochin,07:05:00,21:20:00,2.0,No Info,6128
Jet Airways,2019-03-21,Delhi,Cochin,10:20:00,18:50:00,2.0,In-flight meal not included,9254
Jet Airways,2019-05-21,Kolkata,Banglore,08:25:00,09:20:00,1.0,No Info,14388
Indigo,2019-05-24,Banglore,Delhi,08:30:00,11:20:00,0.0,No Info,4823
Multiple Carriers,2019-03-21,Delhi,Cochin,07:10:00,16:10:00,1.0,In-flight meal not included,5999
Indigo,2019-03-27,Delhi,Cochin,08:35:00,21:20:00,2.0,No Info,6494
Indigo,2019-05-06,Kolkata,Banglore,21:00:00,02:15:00,1.0,No Info,7252
Air India,2019-05-21,Delhi,Cochin,05:15:00,06:50:00,1.0,No Info,7480
Air India,2019-05-21,Kolkata,Banglore,16:50:00,13:45:00,2.0,No Info,13484
Spicejet,2019-05-15,Kolkata,Banglore,06:55:00,09:30:00,0.0,No Info,3873
Jet Airways,2019-06-21,Banglore,Delhi,08:20:00,11:20:00,0.0,No Info,8016
Jet Airways,2019-05-12,Delhi,Cochin,11:00:00,14:15:00,0.0,No Info,9564
Multiple Carriers,2019-05-21,Delhi,Cochin,19:00:00,01:30:00,1.0,No Info,7888
Air India,2019-05-15,Delhi,Cochin,18:05:00,21:10:00,0.0,No Info,6094
Air India,2019-03-27,Mumbai,Hyderabad,06:20:00,07:40:00,0.0,No Info,2575
Indigo,2019-05-06,Mumbai,Hyderabad,21:20:00,22:50:00,0.0,No Info,2227
Jet Airways,2019-04-09,Banglore,Delhi,11:10:00,14:05:00,0.0,In-flight meal not included,4544
Spicejet,2019-03-15,Mumbai,Hyderabad,13:10:00,14:30:00,0.0,No check-in baggage included,2385
Indigo,2019-04-12,Banglore,Delhi,08:30:00,11:20:00,0.0,No Info,4823
Indigo,2019-03-01,Banglore,New Delhi,10:05:00,13:00:00,0.0,No Info,10067
Indigo,2019-06-18,Banglore,Delhi,05:30:00,08:20:00,0.0,No Info,3943
Spicejet,2019-04-21,Delhi,Cochin,08:45:00,13:15:00,1.0,No check-in baggage included,6356
Vistara,2019-06-06,Kolkata,Banglore,17:00:00,10:45:00,1.0,No Info,9187
Multiple Carriers,2019-06-06,Delhi,Cochin,15:05:00,01:30:00,2.0,No Info,15965
Goair,2019-06-21,Banglore,Delhi,11:40:00,14:30:00,0.0,No Info,3398
Air India,2019-06-06,Delhi,Cochin,05:15:00,19:15:00,3.0,No Info,10703
Multiple Carriers,2019-05-27,Delhi,Cochin,07:05:00,22:30:00,1.0,No Info,9856
Spicejet,2019-05-15,Banglore,Delhi,05:55:00,08:35:00,0.0,No Info,3311
Multiple Carriers,2019-06-12,Delhi,Cochin,15:05:00,01:30:00,2.0,No Info,15965
Air India,2019-05-24,Mumbai,Hyderabad,21:05:00,22:25:00,0.0,No Info,3100
Spicejet,2019-06-18,Mumbai,Hyderabad,22:45:00,00:15:00,0.0,No Info,2017
Jet Airways,2019-03-21,Delhi,Cochin,05:25:00,18:50:00,2.0,No Info,12814
Multiple Carriers,2019-06-03,Delhi,Cochin,09:15:00,19:00:00,1.0,No Info,11622
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,16:20:00,1.0,No Info,14781
Multiple Carriers,2019-05-15,Delhi,Cochin,07:05:00,16:10:00,1.0,No Info,9646
Vistara,2019-05-12,Kolkata,Banglore,20:20:00,09:05:00,1.0,No Info,9397
Air India,2019-05-15,Delhi,Cochin,18:45:00,19:15:00,2.0,No Info,13307
Jet Airways,2019-06-24,Delhi,Cochin,23:05:00,04:25:00,2.0,No Info,12819
Air India,2019-03-09,Delhi,Cochin,20:30:00,08:15:00,1.0,No Info,8991
Jet Airways,2019-05-01,Kolkata,Banglore,06:30:00,12:00:00,1.0,No Info,14388
Indigo,2019-03-09,Banglore,New Delhi,06:00:00,08:45:00,0.0,No Info,7648
Jet Airways,2019-06-24,Delhi,Cochin,18:15:00,19:00:00,1.0,In-flight meal not included,10262
Air India,2019-03-27,Delhi,Cochin,17:40:00,08:15:00,1.0,No Info,5998
Jet Airways,2019-03-15,Banglore,New Delhi,07:00:00,13:15:00,1.0,In-flight meal not included,9134
Indigo,2019-05-24,Banglore,Delhi,18:25:00,21:20:00,0.0,No Info,4823
Jet Airways,2019-05-21,Delhi,Cochin,05:30:00,12:35:00,2.0,In-flight meal not included,15544
Goair,2019-04-01,Banglore,Delhi,20:55:00,23:40:00,0.0,No Info,4239
Indigo,2019-06-03,Mumbai,Hyderabad,01:40:00,03:10:00,0.0,No Info,2754
Air India,2019-05-15,Kolkata,Banglore,20:30:00,20:25:00,1.0,No Info,10203
Jet Airways,2019-05-09,Delhi,Cochin,15:00:00,04:25:00,1.0,In-flight meal not included,12373
Jet Airways,2019-06-03,Delhi,Cochin,20:55:00,19:00:00,1.0,No Info,14714
Indigo,2019-06-12,Kolkata,Banglore,11:30:00,14:05:00,0.0,No Info,4804
Indigo,2019-06-01,Chennai,Kolkata,19:35:00,21:55:00,0.0,No Info,3597
Air India,2019-05-18,Banglore,Delhi,10:00:00,12:45:00,0.0,No Info,6961
Goair,2019-05-12,Kolkata,Banglore,16:40:00,00:15:00,1.0,No Info,8855
Air India,2019-03-03,Delhi,Cochin,09:45:00,09:25:00,2.0,No Info,12760
Vistara,2019-05-06,Banglore,Delhi,09:45:00,12:35:00,0.0,No Info,4668
Air India,2019-06-06,Delhi,Cochin,17:40:00,08:15:00,1.0,No Info,7258
Vistara,2019-06-12,Chennai,Kolkata,17:45:00,20:05:00,0.0,No Info,11982
Jet Airways,2019-03-27,Mumbai,Hyderabad,07:10:00,08:35:00,0.0,In-flight meal not included,3205
Air India,2019-03-27,Delhi,Cochin,17:15:00,09:25:00,2.0,No Info,6057
Air India,2019-03-21,Kolkata,Banglore,20:45:00,23:20:00,0.0,No Info,4435
Multiple Carriers,2019-03-06,Delhi,Cochin,07:05:00,21:00:00,1.0,No Info,17267
Indigo,2019-06-18,Banglore,Delhi,22:10:00,01:00:00,0.0,No Info,3419
Air India,2019-05-21,Delhi,Cochin,05:55:00,19:15:00,2.0,No Info,10493
Spicejet,2019-06-01,Mumbai,Hyderabad,13:15:00,14:45:00,0.0,No check-in baggage included,2175
Air India,2019-05-06,Banglore,Delhi,17:00:00,19:45:00,0.0,No Info,5228
Goair,2019-03-09,Banglore,New Delhi,20:55:00,23:50:00,0.0,No Info,5706
Jet Airways,2019-03-24,Banglore,New Delhi,19:55:00,22:35:00,0.0,No Info,7229
Multiple Carriers,2019-05-21,Delhi,Cochin,09:00:00,21:00:00,1.0,No Info,14067
Jet Airways,2019-04-09,Delhi,Cochin,11:40:00,19:00:00,2.0,No Info,15439
Spicejet,2019-05-09,Banglore,Delhi,05:55:00,08:35:00,0.0,No check-in baggage included,3573
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,18:15:00,1.0,In-flight meal not included,8529
Air India,2019-05-06,Mumbai,Hyderabad,06:20:00,07:40:00,0.0,No Info,3625
Multiple Carriers,2019-03-21,Delhi,Cochin,06:00:00,13:20:00,1.0,No Info,11269
Indigo,2019-03-21,Mumbai,Hyderabad,16:55:00,18:25:00,0.0,No Info,3175
Air India,2019-05-01,Kolkata,Banglore,05:50:00,08:55:00,2.0,No Info,10991
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,12:00:00,1.0,In-flight meal not included,9663
Indigo,2019-06-03,Delhi,Cochin,14:25:00,17:40:00,0.0,No Info,6015
Multiple Carriers,2019-03-03,Delhi,Cochin,07:05:00,21:20:00,2.0,No Info,8291
Jet Airways,2019-06-09,Kolkata,Banglore,20:00:00,08:15:00,1.0,No Info,14939
Indigo,2019-05-27,Chennai,Kolkata,19:35:00,21:55:00,0.0,No Info,3597
Multiple Carriers,2019-06-27,Delhi,Cochin,11:25:00,19:15:00,1.0,No Info,7155
Jet Airways,2019-06-12,Kolkata,Banglore,20:25:00,09:45:00,1.0,In-flight meal not included,10539
Jet Airways,2019-03-24,Banglore,New Delhi,19:55:00,22:35:00,0.0,No Info,8016
Jet Airways,2019-04-27,Banglore,Delhi,07:10:00,10:10:00,0.0,No Info,7229
Indigo,2019-03-27,Chennai,Kolkata,14:40:00,17:05:00,0.0,No Info,3384
Air India,2019-06-12,Kolkata,Banglore,16:45:00,08:55:00,2.0,No Info,14960
Multiple Carriers,2019-06-06,Delhi,Cochin,06:00:00,19:00:00,1.0,No Info,11789
Spicejet,2019-05-06,Kolkata,Banglore,11:35:00,18:50:00,1.0,No Info,8479
Air India,2019-04-01,Banglore,Delhi,17:00:00,19:45:00,0.0,No Info,5176
Indigo,2019-04-18,Banglore,Delhi,18:55:00,21:50:00,0.0,No Info,5780
Jet Airways,2019-04-18,Banglore,Delhi,18:55:00,22:00:00,0.0,No Info,7229
Jet Airways,2019-05-18,Kolkata,Banglore,21:10:00,09:20:00,1.0,No Info,14388
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,16:20:00,1.0,No Info,12681
Indigo,2019-03-03,Chennai,Kolkata,05:15:00,07:35:00,0.0,No Info,6482
Indigo,2019-06-24,Kolkata,Banglore,11:30:00,14:05:00,0.0,No Info,4804
Multiple Carriers,2019-06-01,Delhi,Cochin,15:00:00,01:30:00,1.0,No Info,13377
Air India,2019-06-09,Kolkata,Banglore,12:00:00,07:55:00,2.0,No Info,10151
Jet Airways,2019-06-06,Kolkata,Banglore,17:00:00,10:55:00,1.0,No Info,12692
Air India,2019-06-15,Delhi,Cochin,20:15:00,19:15:00,2.0,No Info,13591
Indigo,2019-04-15,Kolkata,Banglore,21:25:00,00:05:00,0.0,No Info,4174
Air India,2019-03-01,Delhi,Cochin,09:45:00,08:15:00,1.0,No Info,22798
Jet Airways,2019-03-09,Banglore,New Delhi,21:25:00,07:40:00,1.0,In-flight meal not included,7832
Air India,2019-05-27,Delhi,Cochin,18:30:00,19:15:00,2.0,No Info,12488
Jet Airways,2019-06-06,Delhi,Cochin,07:05:00,12:35:00,1.0,In-flight meal not included,10262
Air India,2019-06-12,Kolkata,Banglore,09:10:00,13:15:00,1.0,No Info,8996
Multiple Carriers,2019-05-21,Delhi,Cochin,13:00:00,21:00:00,1.0,No Info,14067
Jet Airways,2019-03-21,Delhi,Cochin,10:45:00,18:50:00,2.0,In-flight meal not included,7791
Indigo,2019-05-21,Delhi,Cochin,11:55:00,18:10:00,1.0,No Info,6442
Air India,2019-06-12,Delhi,Cochin,21:00:00,07:40:00,1.0,No Info,8372
Indigo,2019-06-03,Chennai,Kolkata,07:55:00,10:15:00,0.0,No Info,3850
Indigo,2019-05-01,Kolkata,Banglore,20:20:00,22:55:00,0.0,No Info,4804
Jet Airways,2019-06-03,Delhi,Cochin,08:00:00,19:00:00,1.0,In-flight meal not included,10577
Jet Airways,2019-06-03,Delhi,Cochin,10:00:00,04:25:00,1.0,In-flight meal not included,11627
Jet Airways,2019-05-18,Kolkata,Banglore,05:45:00,19:50:00,1.0,In-flight meal not included,10844
Vistara,2019-03-21,Banglore,New Delhi,06:40:00,21:55:00,1.0,No Info,6065
Air Asia,2019-03-01,Banglore,New Delhi,05:50:00,08:40:00,0.0,No Info,10715
Spicejet,2019-05-21,Chennai,Kolkata,17:45:00,20:05:00,0.0,No Info,3597
Spicejet,2019-06-01,Banglore,Delhi,21:10:00,00:05:00,0.0,No check-in baggage included,3573
Jet Airways,2019-06-27,Delhi,Cochin,14:35:00,12:35:00,2.0,No Info,13376
Indigo,2019-03-21,Chennai,Kolkata,07:55:00,10:15:00,0.0,No Info,3384
Spicejet,2019-05-27,Kolkata,Banglore,17:10:00,19:40:00,0.0,No Info,3873
Jet Airways,2019-05-01,Kolkata,Banglore,21:10:00,04:40:00,1.0,No Info,14781
Jet Airways,2019-06-27,Delhi,Cochin,11:45:00,04:25:00,2.0,No Info,13882
Jet Airways,2019-06-12,Delhi,Cochin,09:40:00,12:35:00,2.0,No Info,13014
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,10:05:00,1.0,No Info,13941
Multiple Carriers,2019-06-12,Delhi,Cochin,10:20:00,19:00:00,1.0,No Info,11789
Jet Airways,2019-04-09,Banglore,Delhi,07:10:00,10:10:00,0.0,No Info,7229
Vistara,2019-05-12,Kolkata,Banglore,07:10:00,23:25:00,1.0,No Info,9345
Jet Airways,2019-03-09,Delhi,Cochin,21:50:00,18:50:00,1.0,No Info,15764
Multiple Carriers,2019-03-21,Delhi,Cochin,07:05:00,22:20:00,1.0,No Info,6717
Jet Airways,2019-03-21,Delhi,Cochin,19:10:00,04:25:00,2.0,No Info,10929
Vistara,2019-06-21,Delhi,Cochin,14:40:00,17:50:00,0.0,No Info,6216
Multiple Carriers,2019-06-03,Delhi,Cochin,13:15:00,22:30:00,1.0,No Info,9646
Indigo,2019-06-27,Delhi,Cochin,07:35:00,16:10:00,1.0,No Info,6442
Multiple Carriers,2019-05-27,Delhi,Cochin,09:45:00,22:30:00,1.0,No Info,10486
Jet Airways,2019-03-21,Delhi,Cochin,19:15:00,18:50:00,2.0,In-flight meal not included,8938
Jet Airways,2019-03-12,Banglore,New Delhi,21:25:00,12:25:00,1.0,No Info,13817
Jet Airways,2019-06-12,Kolkata,Banglore,08:25:00,04:40:00,1.0,In-flight meal not included,6224
Spicejet,2019-06-09,Kolkata,Banglore,06:55:00,09:30:00,0.0,No check-in baggage included,3841
Air Asia,2019-03-06,Kolkata,Banglore,10:20:00,12:55:00,0.0,No Info,4384
